"Name","hellaswag/acc","piqa/acc","mmlu/acc","wikitext/word_perplexity","winogrande/acc","commonsense_qa/acc","pubmedqa/acc","race/acc","sciq/acc","wsc273/acc","xnli/acc","lambada_openai/acc"
"SubspaceDecoder_mla0-0-0-full-tasks","0.27106154152559253","0.6131664853101197","0.2294544936618715","80.629254648255","0.5327545382794001","0.19574119574119575","0.382","0.2535885167464115","0.562","0.5311355311355311","0.34318607764390896","0.1725208616339996"
"SubspaceDecoder_mha-full-tasks","0.27106154152559253","0.6131664853101197","0.2294544936618715","80.629254648255","0.5327545382794001","0.19574119574119575","0.382","0.2535885167464115","0.562","0.5311355311355311","0.34318607764390896","0.1725208616339996"
"SubspaceDecoder_mla192-0-0-full-tasks","0.2713602867954591","0.6120783460282916","0.2294544936618715","81.84201463939294","0.4996053670086819","0.19574119574119575","0.376","0.2631578947368421","0.579","0.4945054945054945","0.3442838018741633","0.15816029497380166"
"SubspaceDecoder_mla0-0-192-full-tasks","0.2713602867954591","0.6137105549510338","0.22916963395527704","82.44131578078816","0.5146014206787688","0.19574119574119575","0.392","0.24019138755980865","0.575","0.4981684981684982","0.34468540829986616","0.1502037647972055"
"SubspaceDecoder_mla0-96-192-full-tasks","0.2720573590918144","0.6001088139281828","0.22916963395527704","92.86635204379186","0.5256511444356748","0.19574119574119575","0.344","0.24114832535885167","0.519","0.5494505494505495","0.34674698795180725","0.11624296526295362"
"SubspaceDecoder_mla0-128-0-full-tasks","0.2704640509858594","0.6050054406964092","0.2293832787352229","85.11109105199142","0.5059194948697711","0.19574119574119575","0.35","0.2574162679425837","0.553","0.5164835164835165","0.3469879518072289","0.13894818552299631"
"SubspaceDecoder_mla192-96-192-full-tasks","0.2700657239593706","0.5963003264417845","0.2293832787352229","96.61440850182696","0.5138121546961326","0.19492219492219492","0.366","0.24401913875598089","0.541","0.5238095238095238","0.3410174029451138","0.11080923733747332"
"SubspaceDecoder_mla192-96-0-full-tasks","0.2717586138219478","0.6142546245919478","0.22952570858852017","89.49880591921116","0.5074980268350434","0.19574119574119575","0.386","0.23827751196172248","0.569","0.5164835164835165","0.3421686746987952","0.13060353192315155"
"gpt2-full-tasks","0.2891854212308305","0.6289445048966268","0.22924084888192564","37.36982736000227","0.516179952644041","0.19574119574119575","0.454","0.29473684210526313","0.752","0.5860805860805861","0.35009370816599733","0.32563555210556955"
"gpt2 - first - 10 - tasks","0.3","0.7","0.2578947368421053","38.7978692509318","0.5","","","","","","","0.5"
"gpt2 - second - 10 - tasks","","","","","","0.5","0.3","0.5","0.6","0.8","0.38666666666666666",""
"mla0-0-0 - second - 10 - tasks","","","","","","0.5","0.2","0.4","0.3","0.5","0.37333333333333335",""
"mha - second - 10 - tasks","","","","","","0.5","0.2","0.4","0.3","0.5","0.37333333333333335",""
"mla192-0-0 - second - 10 - tasks","","","","","","0.5","0","0.2","0.3","0.4","0.3466666666666667",""
"mla0-0-192 - second - 10 - tasks","","","","","","0.5","0.2","0.4","0.4","0.2","0.36666666666666664",""
"mla0-96-192 - second - 10 - tasks","","","","","","0.5","0","0.2","0","0.6","0.36666666666666664",""
"mla0-128-0 - second - 10 - tasks","","","","","","0.5","0","0.4","0.2","0.5","0.34",""
"mla192-96-192 - second - 10 - tasks","","","","","","0.5","0","0.3","0.1","0.4","0.32666666666666666",""
"mla192-96-0 - second - 10 - tasks","","","","","","0.5","0.1","0.3","0.2","0.5","0.3466666666666667",""
"mla192-0-0 - first - 10 - tasks","0.4","0.7","0.2614035087719298","82.17744257086652","0.8","","","","","","","0.2"
"mla0-0-0 - first - 10 - tasks","0.4","0.7","0.2614035087719298","81.02542598524549","0.6","","","","","","","0.3"
"mla0-0-192 - first - 10 - tasks","0.4","0.8","0.2614035087719298","83.1125254481666","0.7","","","","","","","0.2"
"mla0-96-192 - first - 10 - tasks","0.4","0.7","0.2614035087719298","92.6987157585023","0.5","","","","","","","0.2"
"mla0-128-0 - first - 10 - tasks","0.3","0.7","0.2596491228070175","86.06153310523825","0.7","","","","","","","0.3"
"mla192-96-192 - first - 10 - tasks","0.4","0.7","0.2614035087719298","97.37377699582449","0.7","","","","","","","0.1"
"mla192-96-0 - first - 10 - tasks","0.4","0.7","0.2596491228070175","90.57509442768986","0.7","","","","","","","0.1"
"mha - first - 10 - tasks","0.4","0.7","0.2614035087719298","81.02542598524549","0.6","","","","","","","0.3"
